RFQ,Customer Part Number,% Under Target,Type,Supplier/Excess Partner,MO Type,Date Code,Supplier MPN,Created Date,% of Demand,Opp Amount,Supplier Qty,Supplier Price,Minimum Suggested Resale,Min Resale Under Target,Min GP,Min Margin,RFQ Target,RFQ Qty,Max GP,Max Margin,RFQ Number,RFQ MPN,RFQ Created,RFQ Customer,Days Btw MO/VQ & RFQ,RFQ Manufacturer
1,MRSMT710004Z,-0.12281481481481471,MO - 1019682,Jabil Inc,Customer Excess,,ABM7-16.000MHZ-D-2-Y-T,2024-06-06T05:10:47,8.486153846153845,658.125,8274,0.7579,1.084053846153846,NO,317.9999999999999,0.3008649868371567,0.675,975,-80.82749999999997,-0.12281481481481471,1058890,ABM716000MHZD2YT,2024-02-22T18:12:42,GPV,105,ABRACON
1,MR7086633,-0.1325966850828728,VQ,ETCHIPS PTE. LTD,,23+,ABS07-32.768KHZ-1-T,2024-04-02T03:52:21,30.474285714285713,63.35,5333,0.41,2.2271428571428573,NO,318.00000000000006,0.8159076330981399,0.362,175,-8.399999999999999,-0.1325966850828728,1058890,ABS0732768KHZ1T,2024-02-22T18:12:42,GPV,40,ABRACON
1,MR460002RO,-0.1325966850828728,VQ,ETCHIPS PTE. LTD,,23+,ABS07-32.768KHZ-1-T,2024-04-02T03:52:21,4.865875912408759,396.752,5333,0.41,0.7001459854014598,NO,317.99999999999994,0.4144078398665554,0.362,1096,-52.60799999999998,-0.1325966850828728,1058890,ABS0732768KHZ1T,2024-02-22T18:12:42,GPV,40,ABRACON
1,MR7086633,-0.1325966850828728,VQ,ETCHIPS PTE. LTD,,23+,ABS07-32.768KHZ-1-T,2024-04-02T03:53:15,30.474285714285713,63.35,5333,0.41,2.2271428571428573,NO,318.00000000000006,0.8159076330981399,0.362,175,-8.399999999999999,-0.1325966850828728,1058890,ABS0732768KHZ1T,2024-02-22T18:12:42,GPV,40,ABRACON
1,MR460002RO,-0.1325966850828728,VQ,ETCHIPS PTE. LTD,,23+,ABS07-32.768KHZ-1-T,2024-04-02T03:53:15,4.865875912408759,396.752,5333,0.41,0.7001459854014598,NO,317.99999999999994,0.4144078398665554,0.362,1096,-52.60799999999998,-0.1325966850828728,1058890,ABS0732768KHZ1T,2024-02-22T18:12:42,GPV,40,ABRACON
1,OM1009000642-1,-0.14942528735632177,VQ,Goldney Electronics S.L.,,17,ABS25-32.768KHZ-T,2023-07-03T11:14:01,5208.333333333333,2.7144000000000004,125000,0.13,13.38,NO,318,0.9902840059790733,0.1131,24,-0.40559999999999996,-0.14942528735632177,1058890,ABS2532768KHZT,2024-02-22T18:12:42,GPV,234,ABRACON
1,OM1009000655,-0.151968503937008,MO - 1024057,BENCHMARK ELECTRONICS,Broker Stock Offer,,ABS07-32.768KHZ-T,2025-07-31T00:49:19,0.9398826979472141,519.684,1923,0.2926,0.44802521994134903,NO,318.00000000000006,0.34691176528342693,0.254,2046,-78.97560000000004,-0.151968503937008,1058890,ABS0732768KHZT,2024-02-22T18:12:42,GPV,525,ABRACON
1,OM1009000642-2,-0.17310000000000003,MO - 1021114,IMI Global Bulgaria ,Customer Excess,,ABS25-32.768KHZ-6-T,2024-10-01T00:37:31,170.52216748768473,60.9,34616,0.35193,1.9184324630541871,NO,318,0.8165533544820652,0.3,203,-10.541790000000006,-0.17310000000000003,1058890,ABS2532768KHZ6T,2024-02-22T18:12:42,GPV,222,ABRACON
1,MR560001RO,-0.2248363636363635,MO - 1018771,Jabil Inc,Customer Excess,,ABM7-12.000MHZ-D2Y-T,2024-03-20T12:14:35,5.044491525423729,934.5600000000001,14286,0.404196,0.5164841355932204,NO,318.0000000000001,0.21740868277444592,0.33,2832,-210.12307199999995,-0.2248363636363635,1058890,ABM712000MHZD2YT,2024-02-22T18:12:42,GPV,27,ABRACON
1,MR560001RO,-0.2248363636363635,MO - 1018771,Jabil Inc,Customer Excess,,ABM7-12.000MHZ-D2Y-T,2024-03-20T12:34:56,5.044491525423729,934.5600000000001,14286,0.404196,0.5164841355932204,NO,318.0000000000001,0.21740868277444592,0.33,2832,-210.12307199999995,-0.2248363636363635,1058890,ABM712000MHZD2YT,2024-02-22T18:12:42,GPV,27,ABRACON
1,EH2300002006,-0.25185185185185177,MO - 1020747,Jabil Inc,Customer Excess,,ASDMB-25.000MHZ-XY-T,2024-08-30T08:18:49,2.043872919818457,1427.76,1351,2.704,3.297560975609756,NO,392.34380487804856,0.17999999999999994,2.16,661,-359.584,-0.25185185185185177,1058890,ASDMB25000MHZXYT,2024-02-22T18:12:42,GPV,190,Abracon
1,MR560001RO,-0.2606060606060605,VQ,PGC-IC Ltd,,21+,ABM7-12.000MHZ-D2Y-T,2025-03-13T09:39:47,5.296610169491525,934.5600000000001,15000,0.416,0.5282881355932203,NO,317.99999999999994,0.2125509320157849,0.33,2832,-243.5519999999999,-0.2606060606060605,1058890,ABM712000MHZD2YT,2024-02-22T18:12:42,GPV,385,ABRACON
