customer_code,customer_name,city,address1,postal,bp_salesperson,category
1002387,Honeywell,San Jose,300 East Tasman Dr,95134,Joseph Gonzales,BP rep is INACTIVE
1010778,Honeywell Aerospace Technologies,"Mexicali, Baja","Cll Industria de La Electrónica 44, 21600 Mexicali, Baja Cal",,Colton Hammond,BP rep is INACTIVE
1005090,I/O Controls Corporation,Azusa,1357 W. Foothill Blvd,91702,Matt Tanner,BP rep is INACTIVE
1005433,ICOP Technology Inc,Walnut,177 S Brent Cir,91789,Stefan Chubb,BP rep is INACTIVE
1005124,IED Group,Santa Ana,2630 S. Shannon Street,92704,Colton Hammond,BP rep is INACTIVE
1006749,IPS Group Inc.,San Diego,7737 Kenamar Ct,92121,Colton Hammond,BP rep is INACTIVE
1003941,IPT,Goleta,7230 Hollister Avenue,93117,Tim Premo,BP rep is INACTIVE
1008388,ITRON,San Jose,230 W Tasman Drive,95134,Karina Ruvalcaba,BP rep is INACTIVE
1009186,Iconn Technologies,Irvine,8909 Irvine Center Dr,92618,Anthoney Bramante,BP rep is INACTIVE
1012066,InTest Corp (INTT),Fremont,48860 Milmont Dr Suite 105C,94538 ,JeanPaul Chevrier,BP rep is INACTIVE
1012066,InTest Corp (INTT),Lake Forest,"20992 Bake Parkway, Unit 112",92630,JeanPaul Chevrier,BP rep is INACTIVE
1011015,Innoflight,San Diego,9985 Pacific Heights Blvd,92121,Sara Shelby,BP rep is INACTIVE
1007432,Inolux Corporation,Santa Clara,3350 Scott Blvd #41-02,95054,Romey Kelso,BP rep is INACTIVE
1008756,Inseego,San Diego,9710 Scranton Rd,92121,Gabriel Cisneros,BP rep is INACTIVE
1004195,Integra Electronics,Fullerton,1009 S. Placentia Ave,92831,Steven Elam,BP rep is INACTIVE
1002320,"Integrated Micro-Electronics, Inc. (IMI)",Tustin,14312 Franklin Ave,92780,Edith Arizmendi,BP rep is INACTIVE
1007474,Interconnect Solutions Company,Fountain Valley,17595 Mt. Herrmann,92708,Colton Hammond,BP rep is INACTIVE
1007712,Interface Masters Technologies,San Jose ,"150 E Brokaw Rd, San Jose",95112,Israel Barba,BP rep is INACTIVE
1011838,Iteris,Los Angeles,801 S. Grand Ave. Suite 750,90017-4633,JeanPaul Chevrier,BP rep is INACTIVE
1011838,Iteris,Oakland,1999 Harrison Street Suite 1675,95405,JeanPaul Chevrier,BP rep is INACTIVE
1011838,Iteris,Santa Ana,1700 Carnegie Avenue,92705-5551,JeanPaul Chevrier,BP rep is INACTIVE
1005483,Janteq,Irvine,9975 Toledo Way,92618,Colton Hammond,BP rep is INACTIVE
1007582,Jupiter Systems,Hayward,31015 Huntwood Avenue,94544-7007,Romey Kelso,BP rep is INACTIVE
1002733,KLA,Fremont,41707 Christy Street,94538,Bac Nguyen,BP rep is INACTIVE
1002733,KLA,Milpitas,3 Technology Drive,95035,Bac Nguyen,BP rep is INACTIVE
1002733,KLA,Milpitas,1 Technology Drive,95035,Bac Nguyen,BP rep is INACTIVE
1002733,KLA,,"TECAN CDMO SOLUTIONS MH, CORP",95037,Bac Nguyen,BP rep is INACTIVE
