Chuboe_Offer_ID[Value],Chuboe_MPN,Chuboe_MFR_ID[Value],Chuboe_MFR_Text,Qty,Chuboe_Lead_Time,Chuboe_Package_Desc,C_Country_ID[Name],Chuboe_Date_Code,C_Currency_ID[ISO_Code],Description,IsActive,Chuboe_MPN_Clean,Chuboe_CPC,PriceEntered,Chuboe_MOQ,Chuboe_SPQ
,293D105X9035B2TE3,,Vishay Sprague,8568.000,,US2201170000021;G01D03,,"1805, 1840, 1844",,CAP TANT 1UF 10% 35V 1411,,,,,,
,293D105X9035B2TE3,,Vishay Sprague,2000.000,,US2205250000029;G01D03,,1822,,CAP TANT 1UF 10% 35V 1411,,,,,,
,293D475X0035D2TE3,,Vishay Sprague,1500.000,,US2204060000062;G01B01,,1944,,CAP TANT 4.7UF 20% 35V 2917,,,,,,
,293D475X0035D2TE3,,Vishay Sprague,500.000,,US2204250000033;G01B01,,1909,,CAP TANT 4.7UF 20% 35V 2917,,,,,,
,2N2222A,,Microchip Technology Inc,1758.000,,US2201260000032;G05D01,,2006,,Transistor Bipolar,,,,,,
,2N7002,,NXP Semiconductors,44338.000,,US2205030000027;G01C02,,"1937, 1940, 1903, 1905",,"Mosfet,N-Ch,60v,300ma,Sot-23",,,,,,
,2N7002,,NXP Semiconductors,3234.000,,US2205110000014;G01C02,,"1844, 1832",,"Mosfet,N-Ch,60v,300ma,Sot-23",,,,,,
,2N7002LT1G,,On Semiconductor,12000.000,,US2204250000028;G01B01,,1909,,MOSFET N-CH 60V 115MA SOT23-3,,,,,,
,3045A-B-632-B-14,,Raf Electronics Hardware,158.000,,US2204060000023;G05D01,,N/A,,ROUND SWAGE STANDOFFBRIGHT TIN O,,,,,,
,3051-B-632-B-16,,Raf Electronics Hardware,1514.000,,US2204060000022;G05D01,,20191226,,ROUND SWAGE STANDOFFELECTRO TIN1,,,,,,
,3051-B-632-B-16,,Raf Electronics Hardware,153.000,,US2204060000020;G05D01,,N/A,,ROUND SWAGE STANDOFFELECTRO TIN1,,,,,,
,30J27RE,,Ohmite,2584.000,,US2204290000020;A02F01,,"2008, 1929, 1813",,RES 27 OHM 5% 10W AXIAL,,,,,,
,310-83-105-41-105101,,Precidip,4322.000,,US2202080000011;G05D01,,"180723, 171110, 190206",,CONN SOCKET 5POS 0.1 GOLD SMD,,,,,,
,310-83-105-41-105191,,Precidip,5725.000,,US2204280000013;A02F01,,N/A,,CONN SOCKET 5POS 0.1 GOLD SMD,,,,,,
,310-83-120-41-001101,,Precidip,2694.000,,US2202080000012;G05C02,,N/A,,CONN SOCKET 20POS 0.1 GOLD PCB,,,,,,
,3296X-1-101LF,,Bourns Inc,1000.000,,US2204060000049;G01A03,,923,,TRIMMER 100 OHM 0.5W PC PIN SIDE,,,,,,
,3296X-1-101LF,,Bourns Inc,36.000,,US2204010000018;G01A03,,n/a,,TRIMMER 100 OHM 0.5W PC PIN SIDE,,,,,,
,3296X-1-101LF,,Bourns Inc,2200.000,,US2203310000045;G01A03,,"947, 852",,TRIMMER 100 OHM 0.5W PC PIN SIDE,,,,,,
,3296X-1-102LF,,Bourns Inc,600.000,,US2203310000041;G01A01,,N/A,,TRIMMER 1K OHM 0.5W PC PIN SIDE,,,,,,
,3296X-1-102LF,,Bourns Inc,3730.000,,US2204010000011;A01E01,,"948, 920, 927, 926",,TRIMMER 1K OHM 0.5W PC PIN SIDE,,,,,,
,3296X-1-102LF,,Bourns Inc,1000.000,,US2204060000046;A01E01,,927,,TRIMMER 1K OHM 0.5W PC PIN SIDE,,,,,,
,3296X-1-102LF,,Bourns Inc,400.000,,US2204060000058;A01E01,,938,,TRIMMER 1K OHM 0.5W PC PIN SIDE,,,,,,
,3296X-1-103LF,,Bourns Inc,3642.000,,US2204290000017;A02E01,,"934, 925, 847, 992/847, 948",,TRIMMER 10K OHM 0.5W PC PIN SIDE,,,,,,
,3296X-1-103LF,,Bourns Inc,3900.000,,US2205200000022;A02E01,,"935, 947, 945",,TRIMMER 10K OHM 0.5W PC PIN SIDE,,,,,,
,3296X-1-103LF,,Bourns Inc,500.000,,US2205200000043;G01A01,,935,,TRIMMER 10K OHM 0.5W PC PIN SIDE,,,,,,
,3296X-1-104LF,,Bourns Inc,1000.000,,US2204060000048;A01E01,,925,,TRIMMER 100KOHM 0.5W PC PIN SIDE,,,,,,
,3296X-1-104LF,,Bourns Inc,36.000,,US2205250000036;INVQRY,,849,,TRIMMER 100KOHM 0.5W PC PIN SIDE,,,,,,
,3296X-1-104LF,,Bourns Inc,4697.000,,US2203160000034;A01E01,,903,,TRIMMER 100KOHM 0.5W PC PIN SIDE,,,,,,
,3296X-1-104LF,,Bourns Inc,500.000,,US2203310000032;A01E01,,925,,TRIMMER 100KOHM 0.5W PC PIN SIDE,,,,,,
,3296X-1-202LF,,Bourns Inc,400.000,,US2303200000016;A01E01,,,,TRIMMER 2K OHM 0.5W PC PIN SIDE,,,,,,
,3296X-1-202LF,,Bourns Inc,200.000,,US2203070000027;A01E01,,5,,TRIMMER 2K OHM 0.5W PC PIN SIDE,,,,,,
,3296X-1-202LF,,Bourns Inc,2400.000,,US2203310000046;A01E01,,"929, 940, 927",,TRIMMER 2K OHM 0.5W PC PIN SIDE,,,,,,
,3296X-1-202LF,,Bourns Inc,1200.000,,US2204060000047;A01E01,,920,,TRIMMER 2K OHM 0.5W PC PIN SIDE,,,,,,
,3296X-1-202LF,,Bourns Inc,600.000,,US2204290000018;A01E01,,948,,TRIMMER 2K OHM 0.5W PC PIN SIDE,,,,,,
,3296X-1-202LF,,Bourns Inc,200.000,,US2205190000062;A01E01,,940,,TRIMMER 2K OHM 0.5W PC PIN SIDE,,,,,,
,3296X-1-202LF,,Bourns Inc,700.000,,US2205200000034;A01E01,,"940, 929",,TRIMMER 2K OHM 0.5W PC PIN SIDE,,,,,,
,3296X-1-202LF,,Bourns Inc,182.000,,US2205250000024;A01E01,,920,,TRIMMER 2K OHM 0.5W PC PIN SIDE,,,,,,
,3296X-1-202LF,,Bourns Inc,200.000,,US2205250000035;A01E01,,929,,TRIMMER 2K OHM 0.5W PC PIN SIDE,,,,,,
,3296X-1-503LF,,Bourns Inc,450.000,,US2204010000012;A01D01,,842,,TRIMMER 50K OHM 0.5W PC PIN SIDE,,,,,,
,3296X-1-503LF,,Bourns Inc,997.000,,US2203310000039;A01D01,,"831, 929, 903/842",,TRIMMER 50K OHM 0.5W PC PIN SIDE,,,,,,
,3296Y-1-502LF,,Bourns Inc,500.000,,US2203310000043;G04B03,,923,,TRIMMER 5K OHM 0.5W PC PIN TOP,,,,,,
,3296Y-1-502LF,,Bourns Inc,686.000,,US2205190000063;G04B03,,923,,TRIMMER 5K OHM 0.5W PC PIN TOP,,,,,,
,3296Z-1-103LF,,Bourns Inc,582.000,,US2203310000044;G04B03,,"907, 842",,TRIMMER 10K OHM 0.5W PC PIN SIDE,,,,,,
,3296Z-1-103LF,,Bourns Inc,450.000,,US2204010000014;G04B03,,819,,TRIMMER 10K OHM 0.5W PC PIN SIDE,,,,,,
,3296Z-1-501LF,,Bourns Inc,200.000,,US2203070000026;G01A01,,014C0,,TRIMMER 500 OHM 0.5W PC PIN SIDE,,,,,,
,3296Z-1-501LF,,Bourns Inc,926.000,,US2203310000040;G01A01,,928,,TRIMMER 500 OHM 0.5W PC PIN SIDE,,,,,,
,3296Z-1-502LF,,Bourns Inc,2800.000,,US2204060000050;A01E01,,"946, 935, 950",,TRIMMER 5K OHM 0.5W PC PIN SIDE,,,,,,
,3296Z-1-502LF,,Bourns Inc,37.000,,US2205200000023;G01A01,,911,,TRIMMER 5K OHM 0.5W PC PIN SIDE,,,,,,
,3296Z-1-502LF,,Bourns Inc,200.000,,US2203070000032;G01A01,,1,,TRIMMER 5K OHM 0.5W PC PIN SIDE,,,,,,
,3296Z-1-502LF,,Bourns Inc,2800.000,,US2203310000042;A01E01,,"928,950",,TRIMMER 5K OHM 0.5W PC PIN SIDE,,,,,,
,35022-0002,,Molex LLC,10000.000,,US2205120000055;G07A02,,"1737, 1715",,CONN HSG 2POS 2.5MM R/A B-IN,,,,,,
,35022-0004,,Molex LLC,1017.000,,US2205120000057;G06A03,,1536,,CONN PLUG 4POS 2.5MM R/A,,,,,,
,35022-0004,,Molex LLC,4884.000,,US2205120000058;G06A03,,1838,,CONN PLUG 4POS 2.5MM R/A,,,,,,
,35022-0007,,Molex LLC,6000.000,,US2205120000056;G06E03,,1840,,CONN HSG 7POS 2.5MM R/A B-IN,,,,,,
,3590S-291-502L,,Bourns Inc,530.000,,US2205100000010;ATX22L,,1925,,POT 5K OHM 2W WIREWOUND LINEAR,,,,,,
