CPC,Awarded_MPN,BPA_MPN,Supplier,Qty,SIPOC_Price,BPA_Price,Savings_Pct,Total_Savings,SIPOC_LT,BPA_LT
"630-341691-001","LTC4231HMS-1#PBF","LTC4231HMS-1#PBF","Newark",35,7.3282,6.9000,5.8%,14.99,20w,0w
"615-064170-107","RG2012P-1071-B-T5","RG2012P-1071-B-T5","DigiKey",3000,0.0855,0.0810,5.2%,13.43,21w,0w
"630-268428-001","FT234XD-R","FT234XD-R","DigiKey",125,2.2502,2.1433,4.8%,13.37,30w,0w
"668-B64376-032","2086593240","2086593240","DigiKey",120,2.9640,2.8537,3.7%,13.24,32w,0w
"615-064170-210","RG2012P-2101-B-T5","RG2012P-2101-B-T5","DigiKey",3000,0.0850,0.0810,4.7%,11.93,23w,18w
"639-311328-002","XEL6060-821MEC","XEL6060-821MEC","Mouser",85,2.9476,2.8123,4.6%,11.50,20w,14w
"630-048308-001","EPM240T100C4N","EPM240T100C4N","DigiKey",20,22.3900,21.9093,2.1%,9.61,14w,0w
"668-099029-026","K86X-AD-26P-BR","K86X-AD-26P-BR","DigiKey",85,4.3360,4.2435,2.1%,7.86,26w,0w
"616-052546-007","MP9100-40.0-1%","MP9100-40.0-1%","DigiKey",30,9.9200,9.7279,1.9%,5.76,16w,0w
"669-B62169-001","2043650006","2043650006","DigiKey",200,10.8241,10.7976,0.2%,5.30,26w,0w
"630-228108-001","MAX13035EETE+","MAX13035EETE+","Newark",30,9.2415,9.0900,1.6%,4.55,19w,0w
"615-B39027-001","TNPW0402249RBYEP","TNPW0402249RBYEP","Mouser",650,0.4051,0.4004,1.2%,3.04,15w,0w
"668-A44871-006","43160-0306","43160-0306","Newark",125,2.1517,2.1300,1.0%,2.71,28w,12w
"687-C11587-001","702910000","702910000","DigiKey",1250,0.2020,0.2009,0.6%,1.40,3w,0w
"639-065795-001","M2022-ALC","M2022-ALC","Mouser",150,1.7100,1.7008,0.5%,1.38,6w,0w
"615-080145-047","TNPW1206174KBETA","TNPW1206174KBETA","Avnet",900,0.2860,0.2860,0.0%,0.04,15w,8w
"639-A21737-001","DO3316T-223MLD","DO3316T-223MLD","Mouser",100,2.7320,2.7320,0.0%,0.00,26w,0w
