Item,ItemDescription,Name,Lot Quantity,Date Code,Lot Unit Cost,Currency,Warehouse Name,Location
105RD706,Alum Electrolytic,Bmi Hose,2109,"1808, 1906, 1916",,,Astute Electronics GEA Excess/Consignment,G04F01
105RD706,Alum Electrolytic,Bmi Hose,200,2014,,,Astute Electronics GEA Excess/Consignment,G08F01
10-674085-130N,Kit-Conn,Amphenol Corp,2,,,,Astute Electronics GEA Excess/Consignment,F01C01
10-674085-132A,CONNECTOR  RECEPTACLE - J2,Amphenol Corp,27,,,,Astute Electronics GEA Excess/Consignment,F01A02
106K100CS4,CAP NETWORK 10UF 100V 14DIP,Cornell Dubilier,377,"1438, 1612, 1611, 1529, 1530, 1546, 1438",,,Astute Electronics GEA Excess/Consignment,G04D03
106K100CS4G,Capacitor Arrays & Networks 10uF 100V Ca,CDE Global,100,,,,Astute Electronics GEA Excess/Consignment,G01A02
106K100CS4G,Capacitor Arrays & Networks 10uF 100V Ca,CDE Global,528,,,,Astute Electronics GEA Excess/Consignment,G01A02
106K100CS4G,Capacitor Arrays & Networks 10uF 100V Ca,CDE Global,560,,,,Astute Electronics GEA Excess/Consignment,G01A02
106K100CS4G,Capacitor Arrays & Networks 10uF 100V Ca,CDE Global,38,,,,Astute Electronics GEA Excess/Consignment,G01A02
106K100CS4G,Capacitor Arrays & Networks 10uF 100V Ca,CDE Global,19,,,,Astute Electronics GEA Excess/Consignment,G01A02
106K100CS4G,Capacitor Arrays & Networks 10uF 100V Ca,CDE Global,523,,,,Astute Electronics GEA Excess/Consignment,G01A02
107-MS-030-C,107-MS-030-C,Sas,5,N/A,,,Astute Electronics GEA Excess/Consignment,G04D02
10-89-7060,"HEADER,STR,DBL ROW,6 CKT,ROHS",Molex LLC,3000,2226,,USD,Astute Electronics Inc. LAM STL,LAMBLK.11.9
10AX090H4F34E3SG,IC FPGA 10AX090 FBGA1152 R,Intel Corp,59,2419,365,USD,Astute Electronics Inc,HK-F02
10CL040YF484C8G,IC PROG CYCLONE 10LP FPGA484 R,Intel Corp,239,2507,22.8,USD,Astute Electronics Inc,HK-E02
10EOP,(CE/) ADPTR FILTER TH SNGL PHA,TE Connectivity,205,,,USD,Astute Electronics Inc. - LAM Consignment,QC INSPECT
1103P0701,PRESSURE SWITCH,ITT Technologies Ltd,5,,5298,USD,Astute Electronics Inc.,SLS02
111CG04-01,111CG04-01 Rev. B,Not Known Yet,1000,,,,Astute Electronics TAX Excess/Consignment,G07D04
112CL04-01,112CL04-01 Rev. B,Elfab,1000,,,,Astute Electronics TAX Excess/Consignment,G05D04
112CL04-01,112CL04-01 Rev. B,Elfab,11380,,,,Astute Electronics TAX Excess/Consignment,G05D04
1-1337482-0,"CON, RF, SMB, 500hm, M, 4Hz, THT",TE Connectivity Ltd,74,,,,Astute Electronics Inc. ATX Excess,BULK2
1-1554653-1,CONN SOCKET LGA 2011POS GOLD,TE Connectivity Ltd,30,,,,Astute Electronics Inc. ATX Excess,G02D02
1-1761608-5,CONN HEADER VERT 14POS 2.54MM,TE Connectivity Ltd,28,18325M,,,Astute Electronics TAX Excess/Consignment,G06A02
1-179960-2,CON-6P-M-ST-10.16mm-HDR,TE Connectivity Ltd,539,2344,3.1763,USD,Astute Electronics Inc,HK-I01
