Item,,ItemDescription,Lot,Location,Lot Cost,Lot Quantity,Lot Unit Cost,Item Lot Revision,Non-Nettable Stock,,Qty WIP,Qty On Customer Orders,,Qty On Purchase Orders,Total On Hand,PO On Order 3PL,CO On Order 3PL,,Last Sales Date,Drawing Revision,Manufacturer,Name,Product Category,Warehouse,,Warehouse Name,NSN,,Expiration Date,Currency,Date Code,Price,Site,Shelf Life,Haz,,,Date Lot,,,,
10090929-S154XLF,,"CONN,RCPT,DSUB HD,15 POSN,2.5A,W/BD LOCK",US2512190000049,QC INSPECT,10.73538,6,1.78923,,,,,,,,264,,,,46010,,M07793,Amphenol ICC,,W115,,Astute Electronics Inc. LAM STL,,,,USD,20240711,1.78923,USS site,,,,,46010,,,,
10090929-S264XLF,,26POS 3ROW VERT AU D-SUB RCPT,US2406180000029,LAMTY.9.1,,756,,,,,,,,,1534,,,,46010,,M02097,Amphenol FCI (ICC),,W115,,Astute Electronics Inc. LAM STL,,,,USD,,1.39,USS site,,,,,45461,,,,
10090929-S264XLF,,26POS 3ROW VERT AU D-SUB RCPT,US2407220000051,LAMTY.9.1,,772,,,,,,,,,1534,,,,46010,,M02097,Amphenol FCI (ICC),,W115,,Astute Electronics Inc. LAM STL,,,,USD,,1.39,USS site,,,,,45495,,,,
10090929-S264XLF,,26POS 3ROW VERT AU D-SUB RCPT,US2512190000048,QC INSPECT,10.86822,6,1.81137,,,,,,,,1534,,,,46010,,M02097,Amphenol FCI (ICC),,W115,,Astute Electronics Inc. LAM STL,,,,USD,,1.81137,USS site,,,,,46010,,,,
10090929-S444XLF,,"CONN,RCPT,DSUB HD,44 POSN,2.5A,W/BD LOCK",US2406270000026,LAMSHELF.5.7,,338,,,,,,,,,961,,,,46010,,M07793,Amphenol ICC,,W115,,Astute Electronics Inc. LAM STL,,,,USD,,2.271,USS site,,,,,45470,,,,
10090929-S444XLF,,"CONN,RCPT,DSUB HD,44 POSN,2.5A,W/BD LOCK",US2407030000021,LAMTY.11.1,,350,,,,,,,,,961,,,,46010,,M07793,Amphenol ICC,,W115,,Astute Electronics Inc. LAM STL,,,,USD,,1.81,USS site,,,,,45476,,,,
10090929-S444XLF,,"CONN,RCPT,DSUB HD,44 POSN,2.5A,W/BD LOCK",US2407110000021,LAMTY.11.1,,100,,,,,,,,,961,,,,46010,,M07793,Amphenol ICC,,W115,,Astute Electronics Inc. LAM STL,,,,USD,,2.271,USS site,,,,,45484,,,,
10090929-S444XLF,,"CONN,RCPT,DSUB HD,44 POSN,2.5A,W/BD LOCK",US2410140000011,LAMTY.11.1,,167,,,,,,,,,961,,,,46010,,M07793,Amphenol ICC,,W115,,Astute Electronics Inc. LAM STL,,,,USD,,2.271,USS site,,,,,45579,,,,
10090929-S444XLF,,"CONN,RCPT,DSUB HD,44 POSN,2.5A,W/BD LOCK",US2512190000050,QC INSPECT,14.19132,6,2.36522,,,,,,,,961,,,,46010,,M07793,Amphenol ICC,,W115,,Astute Electronics Inc. LAM STL,,,,USD,,2.36522,USS site,,,,,46010,,,,
100B-4011,,SMT Transformer 10/100BASE-TX,US2304180000013,G02A02,,250,,,,,,,,,250,,,,,,M04533,Pulse Power & Measurement,Transformers,W104,,Astute Electronics Inc. ATX Excess,,,,,1751-C,,USS site,,,,,43213,,,,
