Chuboe_Offer_ID[Value],Chuboe_MPN,Chuboe_MFR_ID[Value],Chuboe_MFR_Text,Qty,Chuboe_Lead_Time,Chuboe_Package_Desc,C_Country_ID[Name],Chuboe_Date_Code,C_Currency_ID[ISO_Code],Description,IsActive,Chuboe_MPN_Clean,Chuboe_CPC,PriceEntered,Chuboe_MOQ,Chuboe_SPQ
,CRCW12061K91FKEA,,Vishay Dale,5000,,US2501300000004;LAM7.13.14,,2308,,"RES,1206,1% 1/4W,1.91K ROHS",,,,0.00874,,
,CRCW12062K49FKEA,,Vishay Dale,5000,,US2502040000020;LAM7.13.15,,1916,,"RES,1206,1% 1/4W,2.49K ROHS",,,,0.00525,,
,DAMZ-15S-N-A197,,ITT Interconnect Solutions,18,,US2505200000024;LAMBLKB.4.2,,,,"CONN,D-SUB,SKT,15PIN,7.5A,PCB MT,BD LOCK",,,,17.8624,,
,ER1641-101KM,,API Delevan,60,,US2505300000009;LAMBLK.14.11,,Inconclusive,,"IDCTR,RF,.1UH,.025OHM,10%TOL",,,,7.61,,
,FDD8447L,,On Semiconductor,2484,,US2502040000009;LAM13.7.10,,2430,,"POWER FIELD-EFFECT TRANSISTOR, 2",,,,0.3366,,
,ILD207T,,Vishay Semiconductor Opto Division,1671,,US2408190000012;LAM13.9.6,,202403,,OPTOISOLTR 4KV 2CH TRANS 8-SOIC,,,,0.23035,,
,IXTA80N075L2,,IXYS Corp,60,,US2601190000029;LAMTB.9.3,,2533,,Tstor NMFET 75V 80A TO-263AA,,,,8.7502,,
,IXTT120N15P,,Littlefuse Inc,100,,US2503070000023;LAMTB.5.5,,2408,,"XSTR,SMD,MOSFET,N-CH,150V,120A,TO-268",,,,6.11,,
,K66X-B44P-N,,"Kycon, Inc.",9,,US2407220000037;LAMTB.4.1,,2217,,"CONN,HD,D-SUB,RT ANGL,MALE,44 PIN,ROHS",,,,6.72,,
,K66X-B44S-N,,"Kycon, Inc.",36,,US2407080000034;LAMTY.2.4,,,,"CONN,RCPT,HD D-SUB, RA, FEMALE,ROHS,44P",,,,6.3902,,
