CPC,MPNs,Type,vs Target,RFQ Target,RFQ Qty,Source MPN,Supplier/Location,VQ Cost,Source Qty,Date Code,Floor Price,Suggested Resale,Resale Basis,% Under Tgt,Floor GP Line,CT GP Line,% Demand,Opp Amount,Confidence,Days Btw,VQ Alts,Sales History (12mo),Stock Offer Date
DS1339U-33+T&R,1,VQ,UNDER,0.9566,3000,DS1339U33TR,SMARTEL ELECTRONICS (ASIA) CO LTD,0.695,3000,25+,0.817647,0.956600,Target (margin 27%),14.5,367.94,784.80,100.0%,2869.80,High,2,3,,
DML3006LFDS-7,1,VQ,UNDER,0.2415,21000,DML3006LFDS7,HK Firsttop Technology Ltd,0.1818,21000,22+,0.213882,0.241500,Target (margin 25%),11.4,673.73,1253.70,100.0%,5071.50,High,2,1,,
OPA2192IDGKR,1,VQ,UNDER,0.6111,7500,OPA2192IDGKR,Qiaocheng Technology Limited,0.46,7500,"",0.541176,0.611100,Target (margin 25%),11.4,608.82,1133.25,100.0%,4583.25,High,2,1,,
LSF0108PWR,1,VQ,UNDER,0.238,18000,LSF0108PWR,Qiaocheng Technology Limited,0.18,18000,"",0.211765,0.238000,Target (margin 24%),11.0,571.76,1044.00,100.0%,4284.00,High,2,4,,
TPS7A8001DRBR,1,VQ,UNDER,0.144,51000,TPS7A8001DRBR,Shun Chiu (HK) Industry Development Ltd,0.11,51000,22+,0.129412,0.144000,Target (margin 24%),10.1,990.00,1734.00,100.0%,7344.00,High,2,2,,
UCC27511DBVR,1,VQ,UNDER,0.196,30000,UCC27511DBVR,HK Firsttop Technology Ltd,0.1504,30000,22+,0.176941,0.196000,Target (margin 23%),9.7,796.24,1368.00,100.0%,5880.00,High,4,4,,
ADS1015IRUGR,1,VQ,UNDER,0.7,12000,ADS1015IRUGR,"SourceOne electronics Co., Limited",0.541,12000,21+22+,0.636471,0.700000,Target (margin 23%),9.1,1145.65,1908.00,100.0%,8400.00,High,3,1,,
TPS51200DRCR,1,VQ,UNDER,0.1125,15000,TPS51200DRCR,Fixchips Global Limited,0.086,3000,22+,0.102667,0.176333,Other-cust midpoint (other $0.2500),8.7,50.00,79.50,20.0%,1687.50,Medium,-11,7,Sanmina Corporation (Shortage) $0.25 01/22 (3x),
TPS51200DRCR,1,Stock,CHECK WITH JAKE,0.1125,15000,TPS51200DRCR,Stock - Philippines Warehouse,,2738,D2129,0.102667,,,,,,18.3%,1687.50,Stock,,0,Sanmina Corporation (Shortage) $0.25 01/22 (3x),2025-12-17
REF3025AIDBZR,1,VQ,UNDER,0.108,18000,REF3025AIDBZR,Qiaocheng Technology Limited,0.084,18000,12-16wks,0.098824,0.108000,Target (margin 22%),8.5,266.82,432.00,100.0%,1944.00,High,2,3,,
IPW65R041CFDFKSA2,1,VQ,UNDER,3.5831,960,IPW65R041CFDFKSA2,Fixchips Global Limited,2.83,960,24+,3.329412,3.583100,Target (margin 21%),7.1,479.44,722.98,100.0%,3439.78,High,2,1,,
TPS7A8300RGRR,1,VQ,UNDER,0.2485,36000,TPS7A8300RGRR,Worldway Electronics Ltd,0.2,9000,22+,0.235294,0.248500,Target (margin 20%),5.3,317.65,436.50,25.0%,8946.00,High,2,3,,
