COV,CO Number,Invoice Date,Invoice Number,MPN,Customer Item,Description,Qty,Actual Unit Cost,Total Line Cost,Unit Sell Price,Line Total,Buyer,Contract Base (Unit),Contract Base (Total),Effective Revenue,Buyer GP,Billing Variance,Type
COV0019122,StaleInvQ32025,45930,IN0000024711,INA128U/2K5,630-089742-001,"Precision, 130-dB CMRR, 700-µA, Low-Power, Instrumentation A",250,6.743,1685.75,0,0,Jake Harris,7.8432,1960.8,1960.8,275.05,-1960.8,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,LM2907MX-8/NOPB,630-148462-001,"IC,SMD,F/V CONVERTOR",2325,0.721,1676.325,0,0,Jake Harris,0.919125,2136.965625,2136.965625,460.640625,-2136.965625,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,34.81.7.024.9024,644-347685-024,"RLY,SSR,1 NO,24VDC INPUT,24VDC,6A,SIP-4",100,16.726,1672.6,0,0,Danyel Martinez,16.477705,1647.7705,1647.7705,-24.8295,-1647.7705,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,76HPSB10GWRT,646-130453-010,"SW,SMD,DIP STRAIGHT 10 POLES,ROHS",487,3.4,1655.8,0,0,Stephanie Hill,3.775839,1838.833593,1838.833593,183.033593,-1838.833593,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,13-000121,39-164229-07,"CONN, DSUB,7W2_M,PCB STRT,4-40",197,8.34,1642.98,0,0,Jake Harris,11.686674,2302.274778,2302.274778,659.294778,-2302.274778,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,180-078-113R001,668-A26900-078,"CONN,PLUG,D-SUB,HD,78POSN,STR,3A,SLDR",187,8.64,1615.68,0,0,Jake Harris,8.468205,1583.554335,1583.554335,-32.125665,-1583.554335,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,IAUC80N04S6L032ATMA1,626-A73824-001,"XSTR,SMD,MOSFET,N-CHAN,40V,80A,TDSON-8",4885,0.33048,1614.3948,0,0,Edgar Santana,0.34314,1676.2389,1676.2389,61.8441,-1676.2389,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,747846-4,668-098490-025,"CONN,RCPT 25P D-SUB RTANG",249,6.48,1613.52,0,0,Jake Harris,7.99026,1989.57474,1989.57474,376.05474,-1989.57474,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,WT21S,645-A79390-001,"SW,TGL,DPST,250V/6A,SLDR TERM,SEALED",101,15.937,1609.637,0,0,Jake Harris,15.700616,1585.762216,1585.762216,-23.874784,-1585.762216,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,DAMC3H3PJK87,39-193848-00,"CONN,COMBO-D,PLUG,3PIN,R/A,THROUGH HOLE",70,22.59,1581.3,0,0,Stephanie Hill,41.44641,2901.2487,2901.2487,1319.9487,-2901.2487,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,3296W-1-505LF,621-095110-505,"POT TRIM,5MEG,25T,PCMT,ROHS",1500,1.05,1575,0,0,Jake Harris,1.074764,1612.146,1612.146,37.146,-1612.146,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,R05C05TE05SR,660-B05108-001,"PS,DC-DC,4.5-5.5VINPUT,5VOUT,0.5W,SOIC16",500,3.143,1571.5,0,0,Stephanie Hill,3.524391,1762.1955,1762.1955,190.6955,-1762.1955,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,TGHHV5R00JE,618-B36870-050,"RES CHAS MNT 5 OHM 5% 120W 
",60,26.1418,1568.508,0,0,Danyel Martinez,28.304393,1698.26358,1698.26358,129.75558,-1698.26358,NRE
COV0020327,LamStaleInv123125,46022,IN0000025880,PATT0603E2002BGT1,615-224835-014,"RES,0603,THIN FILM,0.1%,25 PPM,0.15W,20K",626,2.5,1565,0,0,Danyel Martinez,0.523485,327.70161,327.70161,-1237.29839,-327.70161,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,T530D337M006ATE010,648-B12344-001,"CAP,TANT,ELCTLT,6.3VDC,330UF,20%,7343",500,3.1,1550,0,0,Stephanie Hill,2.81865,1409.325,1409.325,-140.675,-1409.325,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,LVK12R050CER,615-A72231-005,"RES,SMD,CUR SNS,.05OHM,0.25%TOL,.5W,1206",4900,0.31481,1542.569,0,0,Danyel Martinez,0.31015,1519.735,1519.735,-22.834,-1519.735,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,3003W3SXX69E40X,668-111554-003,"CONN,RCPT,D-SUB,POWER,3P,ROHS",200,7.61,1522,0,0,Jake Harris,11.67176,2334.352,2334.352,812.352,-2334.352,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,CC12H1.5A-TR,682-349233-019,Surface Mount Fuses 1.5A TR Chip Fuse,3000,0.506,1518,0,0,Stephanie Hill,0.503681,1511.043,1511.043,-6.957,-1511.043,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,ATQR15,670-037698-040,"Mersen ATQR FIBREGLASS CARTRID GE FUSE, 15A SPEED TT, 10 x 3",100,15.12589,1512.589,0,0,Jake Harris,48.3588,4835.88,4835.88,3323.291,-4835.88,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,CBD7W2F57R7N0X/AA,668-282338-001,"CONN,COMBO-D,7W2,FEM,PCB,RA",60,24.9,1494,0,0,Jake Harris,42.028523,2521.71138,2521.71138,1027.71138,-2521.71138,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,20TQC100MYF,648-237639-001,CAP 100UF TT 20V 20% 7343,2499,0.586,1464.414,0,0,Edgar Santana,1.311285,3276.901215,3276.901215,1812.487215,-3276.901215,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,MF-LSMF260X-2,682-341005-002,PTC Resettable Fuse 2.6A(hold) 5.2A(trip) 24V 40A 1.5W 5s 0.,4000,0.366,1464,0,0,Stephanie Hill,0.402993,1611.972,1611.972,147.972,-1611.972,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,LM78M05CDTX/NOPB,630-023134-001,Linear Voltage Regulator IC Positive Fixed 1 Output 500mA TO,2500,0.58,1450,0,0,Jake Harris,0.791673,1979.1825,1979.1825,529.1825,-1979.1825,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,91601-316LF,667-B29149-016,"CONN,SMD,RCPT,16POSN,1ROW,.1IN PITCH",1008,1.42562,1437.02496,0,0,Danyel Martinez,1.404484,1415.719872,1415.719872,-21.305088,-1415.719872,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,RQ73C2B267RBTD,615-A61037-267,"RES,SMD,267OHM,0.4W,200V,0.1%,1206,ROHS",5000,0.284,1420,0,0,Jake Harris,0.290444,1452.22,1452.22,32.22,-1452.22,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,K86X-BD-44S-BR,668-014495-044,"CONN,RCPT,HIGH DENSITY DSUB,44 ROHS",197,7.04,1386.88,0,0,Jake Harris,11.35,2235.95,2235.95,849.07,-2235.95,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,BSC080N03LSGATMA1,628-A20933-001,"MOSFET,SMD,N-CH,30V,53A,TDSON-8",5000,0.2754,1377,0,0,Edgar Santana,0.298483,1492.415,1492.415,115.415,-1492.415,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,DAMZ7H2SNA197,39-267683-00,"CONN,COMBO-D,7W2,FEM,PCB,STRT,NO JACKS",100,13.65,1365,0,0,Stephanie Hill,21.83841,2183.841,2183.841,818.841,-2183.841,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,KLKR015.T,670-332664-023,"FUSE,FAST-ACT,15A,600VAC/300VDC,5AG",100,13.6,1360,0,0,Stephanie Hill,15.24522,1524.522,1524.522,164.522,-1524.522,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,KCM55QR71H226KH13K,648-B24495-226,"CAP,SMD,MLCC,22UF,+/-10%,50VDC,X7R",1000,1.35,1350,0,0,Jake Harris,1.237755,1237.755,1237.755,-112.245,-1237.755,NRE
