COV,CO Number,MPN Ordered,Customer Part Code,Description,Qty,Contract Base Price,Contract Resale,Expected Unit Profit,Contract Total Base,Contract Total Resale,Expected Total Profit,Actual Unit Cost,Actual Total Cost,Sell Price,Line Total,GP Profit,Purchased By,Actual Purchase Price,Base Price Variance,Resale vs Actual Variance,Matched
COV0019122,StaleInvQ32025,"MF-LSMF260X-2",682-341005-002,"PTC Resettable Fuse 2.6A(hold) 5.2A(trip) 24V 40A 1.5W 5s 0.",4000,0.402993,0.4914548780487805,0.08846187804878053,1611.972,1965.8195121951221,353.84751219512214,0.366,1464,0,0,-1464,Stephanie Hill,0.366,-0.036993,501.8195121951221,true
COV0019122,StaleInvQ32025,"LM78M05CDTX/NOPB",630-023134-001,"Linear Voltage Regulator IC Positive Fixed 1 Output 500mA TO",2500,0.791673,0.9654548780487805,0.17378187804878054,1979.1825,2413.637195121951,434.4546951219513,0.58,1450,0,0,-1450,Jake Harris,0.58,-0.211673,963.6371951219512,true
COV0019122,StaleInvQ32025,"91601-316LF",667-B29149-016,"CONN,SMD,RCPT,16POSN,1ROW,.1IN PITCH",1008,1.404484,1.7127853658536587,0.30830136585365864,1415.7198720000001,1726.487648780488,310.7677767804879,1.42562,1437.02496,0,0,-1437.02496,Danyel Martinez,1.42562,0.021136000000000044,289.46268878048795,true
COV0019122,StaleInvQ32025,"RQ73C2B267RBTD",615-A61037-267,"RES,SMD,267OHM,0.4W,200V,0.1%,1206,ROHS",5000,0.290444,0.3542,0.06375600000000003,1452.2199999999998,1771,318.7800000000002,0.284,1420,0,0,-1420,Jake Harris,0.284,-0.006444000000000005,351,true
COV0019122,StaleInvQ32025,"K86X-BD-44S-BR",668-014495-044,"CONN,RCPT,HIGH DENSITY DSUB,44 ROHS",197,11.35,13.841463414634147,2.491463414634147,2235.95,2726.768292682927,490.81829268292694,7.04,1386.88,0,0,-1386.88,Jake Harris,6.71,-4.31,1339.888292682927,true
COV0019122,StaleInvQ32025,"BSC080N03LSGATMA1",628-A20933-001,"MOSFET,SMD,N-CH,30V,53A,TDSON-8",5000,0.298483,0.3640036585365854,0.0655206585365854,1492.415,1820.018292682927,327.60329268292696,0.2754,1377,0,0,-1377,Edgar Santana,0.324,-0.02308300000000002,443.01829268292704,true
COV0019122,StaleInvQ32025,"DAMZ7H2SNA197",39-267683-00,"CONN,COMBO-D,7W2,FEM,PCB,STRT,NO JACKS",100,21.83841,26.63220731707317,4.793797317073171,2183.841,2663.220731707317,479.3797317073171,13.65,1365,0,0,-1365,Stephanie Hill,13.65,-8.18841,1298.220731707317,true
COV0019122,StaleInvQ32025,"KLKR015.T",670-332664-023,"FUSE,FAST-ACT,15A,600VAC/300VDC,5AG",100,15.24522,18.591731707317074,3.346511707317074,1524.522,1859.1731707317074,334.6511707317074,13.6,1360,0,0,-1360,Stephanie Hill,13.6,-1.6452200000000001,499.1731707317074,true
COV0019122,StaleInvQ32025,"KCM55QR71H226KH13K",648-B24495-226,"CAP,SMD,MLCC,22UF,+/-10%,50VDC,X7R",1000,1.237755,1.5094573170731707,0.2717023170731707,1237.7549999999999,1509.4573170731705,271.7023170731707,1.35,1350,0,0,-1350,Jake Harris,1.35,0.11224500000000015,159.45731707317054,true
COV0019122,StaleInvQ32025,"SMBJ15A",609-034003-001,"SMBJ15A",27000,0.077207,0.09415487804878049,0.016947878048780493,2084.589,2542.1817073170732,457.5927073170733,0.0499,1347.3,0,0,-1347.3,Stephanie Hill,0.0499,-0.027306999999999998,1194.8817073170733,true
COV0019122,StaleInvQ32025,"S25FL512SAGBHBA10",630-B09772-001,"IC,SMD,NOR FLASH,SPI,512MB,133MHZ,BGA-24",199,8.79909,10.73059756097561,1.9315075609756107,1751.01891,2135.3889146341467,384.37000463414654,6.75,1343.25,0,0,-1343.25,Jake Harris,6.75,-2.0490899999999996,792.1389146341467,true
COV0019122,StaleInvQ32025,"TCA9548ARGER",630-333296-002,"LOW-VOLTAGE 8-CHANNEL I2C
SWITCH WITH RESET",3000,0.941184,1.1477853658536585,0.20660136585365851,2823.552,3443.3560975609757,619.8040975609755,0.43,1290,0,0,-1290,Jake Harris,0.43,-0.5111840000000001,2153.3560975609757,true
