Part Number,Description,MPN Quoted,Lam Product,Consumable Y/N,Critical Y/N,Shelf Life (MSL),Lead time (wks),SPQ/MOQ,Base Unit Price,18% Markup,TOTAL VALUE,COO,HTS Code,Rate,Tariff
621-095110-505,"POT TRIM,5MEG,25T,PCMT,ROHS",POT,N/A,,10,2000,1.07476,471.84761,2621.37561,,,,
667-204367-001,"CONN,SMD,VITA57.1 FMC MEZZ LPC, 160POS",CONN,1,,6,200,10.69862,469.69529,2609.41829,,,,
630-122314-001,"IC,SMD,TEMP SENSOR MULTI-GAIN SC70-5",IC,1,,9,3000,0.70711,465.66044,2587.00244,,,,
795-A93075-001,"LED,FIBER OPT,50MBPS,650NM,1.9V FWD,RED",LED,N/A,,3,200,10.60450,465.56328,2586.46268,,,,
668-A26900-078,"CONN,PLUG,D-SUB,HD,78POSN,STR,3A,SLDR",CONN,1,,19,250,8.46821,464.71857,2581.76982,,,,
39-158111-00,"CONN,D-SUB,3M,PCB STRT,W/STOFF",CONN,N/A,,20,60,34.93901,460.17226,2556.51256,,,,
668-098490-025,"CONN,RCPT 25P D-SUB RTANG",CONN,1,,27,260,7.99026,456.02947,2533.49707,,,,
630-A42452-001,"IC,SMD,ANALOG MUX,1CKT,8CH,78OHM,TSSOP16",IC,1,,16,3000,0.69118,455.16863,2528.71463,,,,
615-B19099-001,"RES,SMD,THIN FILM,25KOHM,0.1%,.05W,0402",RES,1,,70,5000,0.40603,445.64598,2475.81098,,,,
682-A91737-005,"FUSE,SMD,PPTC,24V,5A,2920,ROHS",FUSE,2,,18,1500,1.35270,445.39957,2474.44207,,,,
668-293080-010,"CONN,HDR,RTANG,2 ROWS,10 CKT,PCB MT",CONN,1,,17,1224,1.64217,441.22304,2451.23912,CHINA,8536694040,35%,703.51
660-346747-001,"PS,CMOS-LDO,3-24VIN,1A OUT,TO-252-5-P2",PS,1,,15,3000,0.66667,439.02790,2439.04390,,,,
630-023134-001,"IC,SMD,VOLTAGE REGULATOR,78M05,ROHS",IC,2,,3,2500,0.79167,434.45470,2413.63720,,,,
668-293080-012,"CONN,HDR,RTANG,2 ROWS,12 CKT,PCB MT",CONN,1,,10,1000,1.94017,425.89098,2366.06098,,,,
668-900922-034,"CONN,SKT,STR,.1 X .1, 34 PIN",CONN,1,,7,400,4.77945,419.65902,2331.43902,,,,
668-244954-004,"CONN,RA,JACK,RF,8POS",CONN,1,,12,55,34.57846,417.47169,2319.28715,,,,
666-A51363-001,"SNSR,TEMP,PT100,M222,-50 TO 300DEG C,PT",SNSR,1,,3,1000,1.89953,416.96890,2316.49390,,,,
626-A54785-001,"XSTR,SMD,FIELD EFT,N-CHAN,100V,42A,TO252",XSTR,1,,23,2000,0.94854,416.43088,2313.50488,,,,
646-130453-010,"SW,SMD,DIP STRAIGHT 10 POLES,ROHS",SW,1,,12,500,3.77584,414.42135,2302.34085,,,,
668-307551-026,"CONN,PLUG,D-SUB,PCB,26 PIN,RTANG,5A MAX",CONN,1,,3,100,18.71669,410.85426,2282.52366,,,,
630-A92150-001,"IC,MEM,EMMC,NAND FLASH,256GB,VFBGA-153",IC,3,,20,60,30.38529,400.19653,2223.31405,,,,
635-225114-001,"OSC,SMD,LO NOISE,49.152 MHZ,CMOS OUT",OSC,1,,12,50,36.41671,399.69563,2220.53128,,,,
670-265857-007,"CB,THRM,1P,4A,28 VDC,240 VAC,PCB MTG",CB,N/A,,11,200,9.08990,399.06882,2217.04902,,,,
668-068181-001,"CONN,RCPT,SMA,STR,PCB,4 POST, ROHS",CONN,1,,9,200,9.03402,396.61542,2203.41902,,,,
630-089742-001,"IC,SMD,INA128U",IC,3,,3,225,7.84320,387.37756,2152.09756,,,,
660-B05108-001,"PS,DC-DC,4.5-5.5VINPUT,5VOUT,0.5W,SOIC16",PS,3,,9,500,3.52439,386.82340,2149.01890,,,,
630-B09772-001,"IC,SMD,NOR FLASH,SPI,512MB,133MHZ,BGA-24",IC,3,,11,200,8.79909,386.30151,2146.11951,,,,
668-A51501-044,"CONN,RCPT,D-SUB,H DENSITY,44POSN,3A,60V",CONN,1,,14,100,17.31632,380.11423,2111.74573,,,,
646-130453-008,"SW,SMD,DIP STRAIGHT 8 POLES,ROHS",SW,1,,15,500,3.43956,377.51268,2097.29268,,,,
626-A73824-001,"XSTR,SMD,MOSFET,N-CHAN,40V,80A,TDSON-8",XSTR,1,,21,5000,0.34314,376.61707,2092.31707,,,,
639-A57204-001,"IDCTR,SMD,200UH,50VDC,0.120 OHM,0.5A",IDCTR,1,,36,1000,1.71570,376.61707,2092.31707,,,,
618-B36870-050,"RES,THK FILM,5 OHM,5%,120W,SOT227",RES,N/A,,22,60,28.30439,372.78957,2071.05315,,,,
668-259275-004,"CONN,DSUB,DUAL PORT,9P/9P,F/M,ROHS",CONN,1,,27,270,6.22750,369.09335,2050.51862,,,,
630-345765-001,"IC,SMD,COMPARATOR,280MHZ,2.9NS,SC70-6",IC,,,29,500,3.33655,366.20627,2034.47927,,,,
644-347685-024,"RLY,SSR,1 NO,24VDC INPUT,24VDC,6A,SIP-4",RLY,N/A,,13,100,16.47771,361.70572,2009.47622,,,,
39-164243-15,"CONN,D-SUB,15,M,PCB STRT,BRD LOCK,4-40 I",CONN,1,,18,208,7.90989,361.15409,2006.41163,,,,
607-098383-103,"RNET,ISOL 10K 8 RES SOM16,ROHS",RNET,1,,18,2000,0.81008,355.64488,1975.80488,,,,
609-098296-002,"DIO,SMD,SCHOTTKY,1A,30V,SMB,ROHS",DIO,1,,27,3000,0.54000,355.60976,1975.60976,,,,
682-341005-002,"FUSE,SMD,RESETTABLE PTC,2.6A,24V,2920",FUSE,1,,25,4000,0.40299,353.84751,1965.81951,,,,
639-121249-002,"XFMR,SMD,WIDEBAND RF WB SERIES",XFMR,N/A,,3,500,3.14954,345.68067,1920.44817,,,,
670-332664-021,"FUSE,FAST-ACT,10A,600VAC/300VDC,5AG",FUSE,1,,21,100,15.56753,341.72620,1898.47890,,,,
615-A72231-005,"RES,SMD,CUR SNS,.05OHM,0.25%TOL,.5W,1206",RES,1,,43,5000,0.31015,340.40854,1891.15854,,,,
668-334356-002,"CONN,HDR,RTANG,2POSN,30A,600V,W/BD LOCK",CONN,1,,23,1050,1.47060,338.95537,1883.08537,,,,
668-276715-001,"CONN,RCPT,DSUB,MINIATURE,7 POS,ST",CONN,1,,28,100,15.40454,338.14833,1878.60183,,,,
668-A24092-001,"CONN,COMBO-D,FEM,3W3,SHELL SIZE 2,ROHS",CONN,N/A,,5,480,3.18630,335.72722,1865.15122,,,,
670-332664-023,"FUSE,FAST-ACT,15A,600VAC/300VDC,5AG",FUSE,1,,15,100,15.24522,334.65117,1859.17317,,,,
648-A42571-001,"CAP,SMD,CER,0.47UF,±10%,10VDC,X7R,0402",CAP,1,,3,10000,0.15144,332.42927,1846.82927,,,,
682-349233-019,"FUSE,SMD,15A,32VDC,1206",FUSE,1,,20,3000,0.50368,331.69237,1842.73537,CHINA,8536100040,35%,528.87
723-B34232-008,"STDF,RND,FLARE MT,M3X0.5 THD,8MM LG,BRS",STDF,N/A,,13,5000,0.30147,330.88500,1838.25000,,,,
628-A20933-001,"MOSFET,SMD,N-CH,30V,53A,TDSON-8",MOSFET,1,,3,5000,0.29848,327.60329,1820.01829,,,,
668-299108-001,"CONN,RCPT,RTANG,D-SUB,25POSN,2ROW,6A",CONN,1,,4,260,5.71045,325.91349,1810.63049,,,,
670-332664-016,"FUSE,FAST-ACT,5A,600VAC/300VDC,5AG",FUSE,1,,15,100,14.82855,325.50476,1808.35976,,,,
630-B25236-001,"IC,SMD,OP AMP,SGL,13MHZ,1.7-5.5V,SOT-23",IC,2,,3,3000,0.49265,324.42871,1802.38171,,,,
615-A61037-357,"RES,SMD,357OHM,0.4W,200V,0.1%,1206,ROHS",RES,1,,20,5000,0.29046,318.79317,1771.07317,TAIWAN,8533210030,35%,508.30
615-A61037-267,"RES,SMD,267OHM,0.4W,200V,0.1%,1206,ROHS",RES,1,,53,5000,0.29044,318.78000,1771.00000,,,,
646-130453-002,"SW,SMD,DIP STRAIGHT 2 POLES,ROHS",SW,1,,12,500,2.86767,314.74427,1748.57927,CHINA,8536509065,35%,501.84
667-B29149-016,"CONN,SMD,RCPT,16POSN,1ROW,.1IN PITCH",CONN,1,,21,1008,1.40448,310.76778,1726.48765,,,,
648-B12344-001,"CAP,TANT,ELCTLT,6.3VDC,330UF,20%,7343",CAP,1,,17,500,2.81865,309.36402,1718.68902,,,,
668-005463-006,"HEADER,STR,DBL ROW,6 CKT,ROHS",HEADER,1,,28,3000,0.46937,309.09534,1717.19634,,,,
39-130655-25,"CONN,DSUB,25F,PCB STRT,0.25""",CONN,1,,48,50,28.07621,308.15347,1711.96372,,,,
630-121755-001,"IC,SMD,LDO,REG,150MA,1.8V,SC70-5",IC,1,,9,3000,0.46667,307.31927,1707.32927,,,,
668-130332-001,"CONN,PLUG,HEADER,20 PIN,VERT,ROHS",CONN,1,,23,360,3.87189,305.97406,1699.85590,,,,
630-333296-001,"IC,SMD,I2C SW,8-CHAN,24PIN,5.5V,TSSOP",IC,1,,3,2000,0.68751,301.83190,1676.84390,,,,
682-336597-020,"FUSE,SMD,20A,1206,ROHS",FUSE,1,,21,3000,0.45336,298.55480,1658.63780,,,,
645-000381-008,"SWITCH  DIP ROCKER SPST 8-POS,ROHS",SW,1,,12,500,2.70427,296.81012,1648.94512,CHINA,8536509065,35%,473.25
34-357070-00,"RELAY,2 POLE,24V,INDUSTRIAL",RLY,N/A,,18,100,13.48050,295.91341,1643.96341,CHINA,8536410050,35%,471.82
608-096583-202,"RES,SMD,POT,12T,T-ADJ,0.25SQ,2K,ROHS",RES,1,,18,500,2.69610,295.91341,1643.96341,,,,
608-096583-204,"RES,SMD,POT,12T,T-ADJ,0.25SQ,200K,ROHS",RES,1,,13,500,2.68385,294.56835,1636.49085,,,,
646-130453-004,"SW,SMD,DIP STRAIGHT 4 POLES,ROHS",SW,1,,12,500,2.66000,291.95089,1621.94939,CHINA,8536509065,35%,465.50
630-225105-001,"IC,SMD,CLK GEN,6-OUT,1.6GHZ VCO,LFCSP-48",IC,3,,3,100,13.21855,290.16327,1612.01817,,,,
635-121978-001,"OSC,SMD,XTAL,32.768KHZ",OSC,1,,60,3000,0.43935,289.32805,1607.37805,,,,
631-007891-001,"IC  ULN-2802A, ROHS",IC,1,,29,1000,1.30934,287.41522,1596.75122,,,,
644-041045-001,"RLY,SPDT,24VDC,150MW,PCB MT",RLY,1,,17,500,2.61032,286.49799,1591.65549,,,,
668-339894-001,"CONN,COAX,SMA,RTANG,18GHZ,PCB MT, GOLD",CONN,1,,12,200,6.49809,285.28204,1584.90024,,,,
648-B36944-476,"CAP,SMD,MLCC,47UF,20%,35VDC,X7R,2220",CAP,1,,33,500,2.59806,285.15293,1584.18293,,,,
608-096583-203,"RES,SMD,POT,12T,T-ADJ,0.25SQ,20K,ROHS",RES,1,,20,500,2.59806,285.15293,1584.18293,,,,
609-287457-001,"DIO,SMD,TVS,RCLAMP,3.3VWM,10.5VC",DIO,1,,16,3000,0.43260,284.88424,1582.69024,,,,
